company,company_domain_name,phone,address,city,state,country,zip,industry,type,numberofemployees,website,firstname,lastname,jobtitle,email,mobilephone,nocturn_icp_score,nocturn_icp_tier,nocturn_star_rating,nocturn_room_count,nocturn_has_whatsapp,nocturn_whatsapp_number,nocturn_whatsapp_source,nocturn_has_email,nocturn_after_hours_gap,nocturn_google_rating,nocturn_google_reviews,nocturn_google_maps_url,nocturn_member_id,nocturn_source,nocturn_outreach_priority,nocturn_outreach_channel,nocturn_pilot_roi_estimate,nocturn_adr_estimate,nocturn_pilot_status,nocturn_pilot_start_date,nocturn_first_touch_template,nocturn_notes,nocturn_data_collected_date,lifecyclestage,hs_lead_status,lead_source,lead_source_detail
Amansari Hotel Desaru,amansarihotels.com,,"Jalan Kempas 1 Taman Desaru Utama, Bandar Penawar, 82200, Kota Tinggi, Johor, Malaysia,",Johor Bahru,Johor,Malaysia,82200,Hospitality,PROSPECT,238,http://www.amansarihotels.com,,,General Manager,info.hd@amansarihotels.com,,10,HOT,3 Star,238,NO,,,YES,YES,,,,1191,MAH Directory,3,Email,16614,130,Not Started,,1C,3 Star | 238 rooms | Email,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Amansari Hotel Nusajaya,amansarihotels.com,+6078691168,"Jalan Persiaran Nusa Puncak, Taman Nusa Puncak, 81550, Gelang Patah, Johor, Malaysia,",Johor Bahru,Johor,Malaysia,81550,Hospitality,PROSPECT,322,http://www.amansarihotels.com/,,,General Manager,info.nj@amansarihotels.com,,10,HOT,3 Star,322,NO,,,YES,YES,,,,1211,MAH Directory,3,Email,22464,130,Not Started,,1C,3 Star | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Amari Johor Bahru,amari.com,+6072668888,"No. 82C, Jalan Trus, 80000, Johor Bahru, Johor, Malaysia,",Johor Bahru,Johor,Malaysia,80000,Hospitality,PROSPECT,242,http://www.amari.com,,,General Manager,reservations.johorbahru@amari.com,,9,HOT,5 Star,242,NO,,,YES,YES,,,,1196,MAH Directory,3,Email,16847,130,Not Started,,1C,5 Star | 242 rooms | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Amerald Resort Hotel,ameraldresort.com,+6078243000,"Lot 1231, Jalan Kg Punggai, Sungai Rengit, 81600, Pengerang, Johor, Malaysia,",Johor Bahru,Johor,Malaysia,81600,Hospitality,PROSPECT,251,https://www.ameraldresort.com/,,,General Manager,info@ameraldresort.com,,11,HOT,4 Star,251,NO,,,YES,YES,,,,1287,MAH Directory,3,Email,27000,200,Not Started,,1C,4 Star | 251 rooms | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Amerin Hotel,amerinhotel.com.my,+6072342571,"35, Jalan Persisiran Perling 1, Taman Perling, 82100, Johor Bahru, Johor, Malaysia,",Johor Bahru,Johor,Malaysia,82100,Hospitality,PROSPECT,176,http://www.amerinhotel.com.my,,,General Manager,reservation@amerinhotel.com.my,,11,HOT,3 Star,176,NO,,,YES,YES,,,,1141,MAH Directory,3,Email,12168,130,Not Started,,1C,3 Star | 176 rooms | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Anantara Desaru Coast Resort & Villas,anantara.com,+6078280888,"Jalan Desaru, Desaru Coast, Bandar Penawar, 81930, Desaru, Johor, Malaysia,",Johor Bahru,Johor,Malaysia,81930,Hospitality,PROSPECT,123,http://www.anantara.com,,,General Manager,desaru@anantara.com,,9,HOT,5 Star,123,NO,,,YES,YES,,,,1462,MAH Directory,3,Email,8423,130,Not Started,,1C,5 Star | 123 rooms | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Austin Park Hotel,,+6073603000,"No. 71, Jalan Austin Heights 8/2, Taman Mount Austin, 81100, Johor Bahru, Johor, Malaysia,",Johor Bahru,Johor,Malaysia,81100,Hospitality,PROSPECT,108,,,,General Manager,info@austinparkhotel.com,,8,HOT,Others,108,NO,,,YES,YES,,,,1425,MAH Directory,3,Email,7488,130,Not Started,,1C,108 rooms | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Batu Batu Resort,,+6077222222,"c/o Batu Batu Resort Sdn Bhd, 125A Jalan Damai, Taman Sri Setia, 80300, Johor Bahru, Johor, Malaysia,",Johor Bahru,Johor,Malaysia,80300,Hospitality,PROSPECT,32,,,,General Manager,adminjb@batubatu.com.my,,7,WARM,4 Star,32,NO,,,YES,YES,,,,0837,MAH Directory,3,Email,3600,200,Not Started,,1C,4 Star | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Belllo Hotel,belllohotel.com,+6072213866,"No. 21, Jalan Meldrum, 80000, Johor Bahru, Johor, Malaysia,",Johor Bahru,Johor,Malaysia,80000,Hospitality,PROSPECT,49,http://www.belllohotel.com,,,General Manager,contactus@belllohotel.com,,6,WARM,Others,49,NO,,,YES,YES,,,,1171,MAH Directory,3,Email,3276,130,Not Started,,1C,Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Berjaya Waterfront Hotel,berjayahotel.com,+6072219999,"Kompleks Bebas Cukai JB, No. 88, Jalan Ibrahim Sultan, Stulang Laut, 80720, Johor Bahru, Johor, Malaysia,",Johor Bahru,Johor,Malaysia,80720,Hospitality,PROSPECT,400,http://www.berjayahotel.com/,,,General Manager,bwh.rsvn@bejayahotel.com,,10,HOT,4 Star,400,NO,,,YES,YES,,,,0190,MAH Directory,3,Email,43200,200,Not Started,,1C,4 Star | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
