company,company_domain_name,phone,address,city,state,country,zip,industry,type,numberofemployees,website,firstname,lastname,jobtitle,email,mobilephone,nocturn_icp_score,nocturn_icp_tier,nocturn_star_rating,nocturn_room_count,nocturn_has_whatsapp,nocturn_whatsapp_number,nocturn_whatsapp_source,nocturn_has_email,nocturn_after_hours_gap,nocturn_google_rating,nocturn_google_reviews,nocturn_google_maps_url,nocturn_member_id,nocturn_source,nocturn_outreach_priority,nocturn_outreach_channel,nocturn_pilot_roi_estimate,nocturn_adr_estimate,nocturn_pilot_status,nocturn_pilot_start_date,nocturn_first_touch_template,nocturn_notes,nocturn_data_collected_date,lifecyclestage,hs_lead_status,lead_source,lead_source_detail
3M Malaysia Sdn. Bhd.,3m.com.my,+60378842888,"Level 8, Block F, Oasis Square, No. 2 Jalan PJU 1A/7A, Ara Damansara, 47301, Petaling Jaya, Selangor, Malaysia,",Kuala Lumpur,Selangor,Malaysia,47301,Hospitality,PROSPECT,50,https://www.3m.com.my/3M/en_MY/commercial-solutions-my/,,,General Manager,gwleong@mmm.com,,6,WARM,Associate,,NO,,,YES,YES,,,,1819,MAH Directory,2,Email,8640,160,Not Started,,1C,Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
9 Square 9 Hotel,9squarehotel.com,+0389280996,"C-01-G Plaza Paragon Point, Jalan Medan Pusat Bandar 5, Pusat Bandar Baru Bangi, 43650, Bangi, Selangor, Malaysia,",Petaling Jaya,Selangor,Malaysia,43650,Hospitality,PROSPECT,35,http://www.9squarehotel.com,,,General Manager,9sq9booking@gmail.com,,7,WARM,Others,35,NO,,,YES,YES,,,,1132,MAH Directory,2,Email,2160,120,Not Started,,1C,Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
9 Square Hotel - Kota Damansara,9squarehotel.com,+60361422822,"17, Jalan PJU 5/20E, The Strand Kota Damansara, 48710, Petaling Jaya, Selangor, Malaysia,",Kuala Lumpur,Selangor,Malaysia,48710,Hospitality,PROSPECT,41,http://www.9squarehotel.com,,,General Manager,9sqbooking@gmail.com,,7,WARM,Orchid,41,NO,,,YES,YES,,,,0930,MAH Directory,2,Email,3455,160,Not Started,,1C,Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Ac Hotel Kuala Lumpur Titiwangsa,ytlhotels.com,+60340428000,"No. 9, Jalan Lumut, Off Jalan Ipoh, 50400, Kuala Lumpur, Kuala Lumpur, Malaysia,",Kuala Lumpur,Kuala Lumpur,Malaysia,50400,Hospitality,PROSPECT,364,http://www.ytlhotels.com,,,General Manager,dutymanager@achotelkl.com,,11,HOT,4 Star,364,NO,,,YES,YES,,,,0166,MAH Directory,2,Email,49049,250,Not Started,,1C,4 Star | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Acappella Suite Hotel,acappellasuitehotel.com,+6035039888,"8, Persiaran Sukan, Seksyen 13, 40100, Shah Alam, Selangor, Malaysia,",Petaling Jaya,Selangor,Malaysia,40100,Hospitality,PROSPECT,212,https://acappellasuitehotel.com/,,,General Manager,info@acapella.com.my,,12,HOT,4 Star,212,NO,,,YES,YES,,,,1048,MAH Directory,2,Email,20412,180,Not Started,,1C,4 Star | 212 rooms | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Accelerator Resources Sdn Bhd,xcerator.com,+60123083521,"1st Floor Unit 8-9, No. 4A, Jalan SS5D/6, Kelana Jaya, 47301, Petaling Jaya, Selangor, Malaysia,",Petaling Jaya,Selangor,Malaysia,47301,Hospitality,PROSPECT,50,https://www.xcerator.com/,,,General Manager,judyxcerator@gmail.com,+60123083521,7,WARM,,,YES,+60123083521,mah_directory,YES,YES,,,,1752,MAH Directory,2,WhatsApp,6480,120,Not Started,,1B,Email | WhatsApp,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Ada Cosmetics International Sdn Bhd,ada-cosmetics.com,+60123456614,"Kilang B, Lot 87133 & 130428, Jalan Canang Emas 8/KS10, Telok Gong, 42000, Port Klang, Selangor, Malaysia,",Kuala Lumpur,Selangor,Malaysia,87133,Hospitality,PROSPECT,50,https://ada-cosmetics.com/,,,General Manager,alex.chor@ada-cosmetics.com,+60123456614,7,WARM,Associate,,YES,+60123456614,mah_directory,YES,YES,,,,1852,MAH Directory,2,WhatsApp,8640,160,Not Started,,1B,Email | WhatsApp,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Alami Garden Hotel,alamigardenhotel.com.my,+60355181223,"1-13-1 Blok 1, Persiaran ALAMi, Persiaran Akuatik Seksyen 13, 40100, Shah Alam, Selangor, Malaysia,",Petaling Jaya,Selangor,Malaysia,40100,Hospitality,PROSPECT,50,http://www.alamigardenhotel.com.my,,,General Manager,alamigardenhotel@yahoo.com.my,,9,HOT,2 Star,50,NO,,,YES,YES,,,,0693,MAH Directory,2,Email,3240,120,Not Started,,1C,50 rooms | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Alila Bangsar Kuala Lumpur,,+60322683888,"54, Jalan Ang Seng, 50470, Kuala Lumpur, Kuala Lumpur, Malaysia,",Kuala Lumpur,Kuala Lumpur,Malaysia,50470,Hospitality,PROSPECT,158,,,,General Manager,kulal-reservation@hyatt.com,,9,HOT,5 Star,158,NO,,,YES,YES,,,,1188,MAH Directory,2,Email,13536,160,Not Started,,1C,5 Star | 158 rooms | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Almex System Technology Asia Sdn Bhd,almex-sta.com,+60321610198,"19-8-3A, Level 8, UOA Centre, No. 19, Jalan Pinang, 50450, Kuala Lumpur, Kuala Lumpur, Malaysia,",Kuala Lumpur,Kuala Lumpur,Malaysia,50450,Hospitality,PROSPECT,50,https://www.almex-sta.com/hotel/,,,General Manager,asta-ad@almex-sta.com,,6,WARM,Associate,,NO,,,YES,YES,,,,1561,MAH Directory,2,Email,8640,160,Not Started,,1C,Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Aloft Kuala Lumpur Sentral,marriott.com,+60327231188,"No. 5 Jalan Stesen Sentral, Kuala Lumpur Sentral, 50470, Kuala Lumpur, Kuala Lumpur, Malaysia,",Kuala Lumpur,Kuala Lumpur,Malaysia,50470,Hospitality,PROSPECT,482,https://www.marriott.com/en-us/hotels/kulal-aloft-kuala-lumpur-sentral,,,General Manager,aloft.kualalumpur@alofthotels.com,,8,HOT,4 Star,482,NO,,,YES,YES,,,,0833,MAH Directory,2,Email,64799,250,Not Started,,1C,4 Star | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Amari Kuala Lumpur,amari.com,+60323305800,"No. 3, Jalan Bangsar, KL Eco City, Kuala Lumpur, 59200, Kuala Lumpur, Malaysia,",Kuala Lumpur,Kuala Lumpur,Malaysia,59200,Hospitality,PROSPECT,252,https://www.amari.com/,,,General Manager,,,9,HOT,5 Star,252,NO,,,NO,YES,,,,1601,MAH Directory,2,Phone,21600,160,Not Started,,1D,5 Star | 252 rooms | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Amverton Cove Golf & Island Resort Sdn Bhd,amvertoncove.com,+60331233888,"PT 673, Jalan Pulau Carey, Mukim Jugra, 42960, Pulau Carey, Selangor, Malaysia,",Petaling Jaya,Selangor,Malaysia,42960,Hospitality,PROSPECT,45,http://www.amvertoncove.com,,,General Manager,enquiries@amvertoncove.com,,9,HOT,4 Star,45,NO,,,YES,YES,,,,0900,MAH Directory,2,Email,4212,180,Not Started,,1C,4 Star | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
