company,company_domain_name,phone,address,city,state,country,zip,industry,type,numberofemployees,website,firstname,lastname,jobtitle,email,mobilephone,nocturn_icp_score,nocturn_icp_tier,nocturn_star_rating,nocturn_room_count,nocturn_has_whatsapp,nocturn_whatsapp_number,nocturn_whatsapp_source,nocturn_has_email,nocturn_after_hours_gap,nocturn_google_rating,nocturn_google_reviews,nocturn_google_maps_url,nocturn_member_id,nocturn_source,nocturn_outreach_priority,nocturn_outreach_channel,nocturn_pilot_roi_estimate,nocturn_adr_estimate,nocturn_pilot_status,nocturn_pilot_start_date,nocturn_first_touch_template,nocturn_notes,nocturn_data_collected_date,lifecyclestage,hs_lead_status,lead_source,lead_source_detail
1001 Nights Hotel,1001nights.ionmajestichotel.com,+60351150001,"Jalan Ion Delemen 1, 69000, Genting Highlands, Pahang, Malaysia,",Kuantan,Pahang,Malaysia,69000,Hospitality,PROSPECT,50,https://1001nights.ionmajestichotel.com/,,,General Manager,info-1001nights@ionmajestichotel.com,,3,COLD,,,NO,,,YES,YES,,,,1868,MAH Directory,4,Email,6480,120,Not Started,,1C,Email | Phone,2026-03-26,lead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
1825 Gallery Hotel,1825galleryhotel.com,+6062882868,"No. 27, 29 & 31, Jalan Bunga Raya, Melaka, 75100, Melaka, Malaysia,",Melaka,Melaka,Malaysia,75100,Hospitality,PROSPECT,42,http://www.1825galleryhotel.com,,,General Manager,reservation@1825galleryhotel.com,,7,WARM,3 Star,42,NO,,,YES,YES,,,,1064,MAH Directory,3,Email,2591,120,Not Started,,1C,3 Star | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
1969 Business Suites @ Bandar Cyber,1969businesssuites.com.my,+6053131969,"No. 2, Jalan Lapangan Siber 9, Bandar Cyber, 31350, Ipoh, Perak, Malaysia,",Ipoh,Perak,Malaysia,31350,Hospitality,PROSPECT,42,http://www.1969businesssuites.com.my,,,General Manager,info@1969businesssuites.com.my,,7,WARM,3 Star,42,NO,,,YES,YES,,,,1410,MAH Directory,3,Email,2591,120,Not Started,,1C,3 Star | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
1969 Business Suites @ Ipoh Garden,1969businesssuites.com,+60172646202,"G-R-18, Ground Floor, Zone B, Persiaran Medan Ipoh, 31400, Ipoh, Perak, Malaysia,",Ipoh,Perak,Malaysia,31400,Hospitality,PROSPECT,41,https://1969businesssuites.com/,,,General Manager,christopher@1969businesssuites.com,+60172646202,8,HOT,3 Star,41,YES,+60172646202,mah_directory,YES,YES,,,,1829,MAH Directory,1,WhatsApp,2591,120,Not Started,,1B,3 Star | Email | WhatsApp,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
A' Famosa Resort Hotel,afamosa.com,+6065520888,"Jalan Kemus, Simpang Empat, 78000, Alor Gajah, Melaka, Malaysia,",Melaka,Melaka,Malaysia,78000,Hospitality,PROSPECT,213,http://www.afamosa.com,,,General Manager,enquiries@afamosa.com,,10,HOT,4 Star,213,NO,,,YES,YES,,,,0284,MAH Directory,3,Email,20412,180,Not Started,,1C,4 Star | 213 rooms | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
A’Moss Farmstay,amossfarmstay.com,+60195550356,"No. 4, A’Moss Road, Kampung Gerak Sepadu, Sungai Palas, 39000, Cameron Highlands, Pahang, Malaysia,",Ipoh,Pahang,Malaysia,39000,Hospitality,PROSPECT,10,https://www.amossfarmstay.com/,,,General Manager,sruban@amossfarmstay.com,+60195550356,5,WARM,Others,10,YES,+60195550356,mah_directory,YES,YES,,,,1882,MAH Directory,3,WhatsApp,2160,120,Not Started,,1B,Email | WhatsApp,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Aava Malacca Hotel,aavamalaccahotel.com,+6062883977,"No. 12, Jalan Kampung Hulu, 75200, Melaka, Melaka, Malaysia,",Melaka,Melaka,Malaysia,75200,Hospitality,PROSPECT,16,http://www.aavamalaccahotel.com,,,General Manager,enquiry@aavamalaccahotel.com,,7,WARM,3 Star,16,NO,,,YES,YES,,,,1318,MAH Directory,3,Email,2160,120,Not Started,,1C,3 Star | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Adena Beach Resort,adenaresort.com,+6095441111,"Lot 1260, Mukim Sungai Karang, 26100, Kuantan, Pahang, Malaysia,",Kuantan,Pahang,Malaysia,26100,Hospitality,PROSPECT,118,http://www.adenaresort.com,,,General Manager,info@adenaresort.com,,7,WARM,Others,118,NO,,,YES,YES,,,,1528,MAH Directory,3,Email,7560,120,Not Started,,1C,118 rooms | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Adya Hotel Langkawi,adyahotellangkawi.com-malaysia.com,+6049608000,"No. 1, PT 4001, Persiaran Mutiara 2, Mukim Kuah, 07000, Langkawi, Kedah, Malaysia,",Langkawi,Kedah,Malaysia,07000,Hospitality,PROSPECT,207,https://adyahotellangkawi.com-malaysia.com/,,,General Manager,enquiry@adyahotellangkawi.com,,9,HOT,4 Star,207,NO,,,YES,YES,,,,1037,MAH Directory,3,Email,20087,180,Not Started,,1C,4 Star | 207 rooms | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Aero Star Hotel,,+6066779363,"No. 12, Jalan Pusat Perdagangan Bukit Emas 2-1, Pusat Perdagangan Bukit Emas 2, 70450, Seremban, Negeri Sembilan, Malaysia,",Seremban,Negeri Sembilan,Malaysia,70450,Hospitality,PROSPECT,50,,,,General Manager,aerostarhotel@yahoo.com,,6,WARM,Orchid,50,NO,,,YES,YES,,,,1566,MAH Directory,3,Email,3240,120,Not Started,,1C,50 rooms | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
