company,company_domain_name,phone,address,city,state,country,zip,industry,type,numberofemployees,website,firstname,lastname,jobtitle,email,mobilephone,nocturn_icp_score,nocturn_icp_tier,nocturn_star_rating,nocturn_room_count,nocturn_has_whatsapp,nocturn_whatsapp_number,nocturn_whatsapp_source,nocturn_has_email,nocturn_after_hours_gap,nocturn_google_rating,nocturn_google_reviews,nocturn_google_maps_url,nocturn_member_id,nocturn_source,nocturn_outreach_priority,nocturn_outreach_channel,nocturn_pilot_roi_estimate,nocturn_adr_estimate,nocturn_pilot_status,nocturn_pilot_start_date,nocturn_first_touch_template,nocturn_notes,nocturn_data_collected_date,lifecyclestage,hs_lead_status,lead_source,lead_source_detail
23 Love Lane,23lovelane.com,+6042621323,"23 Love Lane, 10200, George Town, Penang, Malaysia,",George Town,Penang,Malaysia,10200,Hospitality,PROSPECT,10,http://23lovelane.com,,,General Manager,hm@23lovelane.com,,6,WARM,Others,10,NO,,,YES,YES,,,,0811,MAH Directory,3,Email,2160,120,Not Started,,1C,Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Amari Spice Penang,amari.com,+6046831188,"2, Persiaran Mahsuri, 11900, Bayan Lepas, Penang, Malaysia,",George Town,Penang,Malaysia,11900,Hospitality,PROSPECT,453,http://www.amari.com/penang,,,General Manager,info.penang@amari.com,,5,WARM,5 Star,453,NO,,,YES,YES,,,,1605,MAH Directory,3,Email,29160,120,Not Started,,1C,5 Star | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Angsana Teluk Bahang,angsana.com,+6048170888,"11, Jalan Teluk Bahang, 11050, Teluk Bahang, Penang, Malaysia,",George Town,Penang,Malaysia,11050,Hospitality,PROSPECT,250,https://www.angsana.com/en/malaysia/penang,,,General Manager,telukbahang@angsana.com,,9,HOT,5 Star,250,NO,,,YES,YES,,,,1516,MAH Directory,3,Email,16200,120,Not Started,,1C,5 Star | 250 rooms | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Areca Hotel,arecahotelpenang.com,+6042610081,"No. 5 - 27, Jalan Khoo Sian Ewe, 10050, Georgetown, Penang, Malaysia,",George Town,Penang,Malaysia,10050,Hospitality,PROSPECT,48,http://www.arecahotelpenang.com,,,General Manager,info@arecahotelpenang.com,,8,HOT,3 Star,48,NO,,,YES,YES,,,,1248,MAH Directory,3,Email,3024,120,Not Started,,1C,3 Star | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Armenian Street Heritage Hotel,armenianstheritagehotel.com,+6042623888,"139, Jalan Carnovan, 10200, Penang, Penang, Malaysia,",George Town,Penang,Malaysia,10200,Hospitality,PROSPECT,92,http://www.armenianstheritagehotel.com,,,General Manager,abhldgs@yahoo.com,,8,HOT,2 Star,92,NO,,,YES,YES,,,,0871,MAH Directory,3,Email,5832,120,Not Started,,1C,92 rooms | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Aroma Hotel,aromahotel.com.my,+6043238111,"11, Butterworth Business City Centre, Jalan Raja Uda, 12300, Butterworth, Penang, Malaysia,",George Town,Penang,Malaysia,12300,Hospitality,PROSPECT,265,http://www.aromahotel.com.my,,,General Manager,info@aromahotel.com.my,,11,HOT,3 Star,265,NO,,,YES,YES,,,,0784,MAH Directory,3,Email,17064,120,Not Started,,1C,3 Star | 265 rooms | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Ascott Gurney Penang,the-ascott.com,+6043707000,"18, Persiaran Gurney, 10250, Georgetown, Penang, Malaysia,",George Town,Penang,Malaysia,10250,Hospitality,PROSPECT,135,http://www.the-ascott.com,,,General Manager,enquiry.penang@the-ascott.com,,9,HOT,5 Star,135,NO,,,YES,YES,,,,0417,MAH Directory,3,Email,8640,120,Not Started,,1C,5 Star | 135 rooms | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Badan Pengurusan Bersama Kompleks Bukit Jambul,kbj.com.my,+6046456788,"3A-6-01, 6th Floor, Kompleks Bukit Jambul, Jalan Rumbia, 11900, Bayan Lepas, Penang, Malaysia,",George Town,Penang,Malaysia,11900,Hospitality,PROSPECT,50,http://kbj.com.my,,,General Manager,wiena@kbj.com.my,,6,WARM,Orchid,,NO,,,YES,YES,,,,1536,MAH Directory,3,Email,6480,120,Not Started,,1C,Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Bahang Bay Hotel,bahangbayhotel.com,+6048881000,"No 15, Jalan Teluk Bahang, Teluk Bahang, 11050, Georgetown, Penang, Malaysia,",George Town,Penang,Malaysia,11050,Hospitality,PROSPECT,160,http://www.bahangbayhotel.com,,,General Manager,enquiry@bahangbayhotel.com,,11,HOT,4 Star,160,NO,,,YES,YES,,,,1546,MAH Directory,3,Email,15552,180,Not Started,,1C,4 Star | 160 rooms | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Banana Boutique Hotel,,+6042610718,"""No. 422, Chulia Street"", 11200 Georgetown, Penang, Penang, Malaysia,",George Town,Penang,Malaysia,11200,Hospitality,PROSPECT,48,,,,General Manager,info@bananaboutiquepenang.com,,5,WARM,Others,48,NO,,,YES,YES,,,,0931,MAH Directory,3,Email,3024,120,Not Started,,1C,Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
