company,company_domain_name,phone,address,city,state,country,zip,industry,type,numberofemployees,website,firstname,lastname,jobtitle,email,mobilephone,nocturn_icp_score,nocturn_icp_tier,nocturn_star_rating,nocturn_room_count,nocturn_has_whatsapp,nocturn_whatsapp_number,nocturn_whatsapp_source,nocturn_has_email,nocturn_after_hours_gap,nocturn_google_rating,nocturn_google_reviews,nocturn_google_maps_url,nocturn_member_id,nocturn_source,nocturn_outreach_priority,nocturn_outreach_channel,nocturn_pilot_roi_estimate,nocturn_adr_estimate,nocturn_pilot_status,nocturn_pilot_start_date,nocturn_first_touch_template,nocturn_notes,nocturn_data_collected_date,lifecyclestage,hs_lead_status,lead_source,lead_source_detail
@Thome Boutique Hotel,athomebintulu.com,+6086315006,"No.31-40 (2605-2614) Lot 2535 Kidurong Gateway, Block 20 Kemena Land District Jalan Kidurong, 97000, Bintulu, Sarawak, Malaysia,",Kuching,Sarawak,Malaysia,97000,Hospitality,PROSPECT,96,http://www.athomebintulu.com,,,General Manager,rsvn@athomebintulu.com,,8,HOT,Others,96,NO,,,YES,YES,,,,1229,MAH Directory,3,Email,6048,120,Not Started,,1C,96 rooms | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
56 Hotel,56hotel.com.my,+6082575666,"Lot 2228 & 2229, Section 64, Jalan Tun Jugah, 93350, Kuching, Sarawak, Malaysia,",Kuching,Sarawak,Malaysia,93350,Hospitality,PROSPECT,155,http://www.56hotel.com.my,,,General Manager,inquiry@56hotel.com.my,,10,HOT,3 Star,155,NO,,,YES,YES,,,,0987,MAH Directory,3,Email,9936,120,Not Started,,1C,3 Star | 155 rooms | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Abell Hotel,abellhotel.com,+6082239449,"No. 22, Jalan Tunku Abdul Rahman, 93100, Kuching, Sarawak, Malaysia,",Kuching,Sarawak,Malaysia,93100,Hospitality,PROSPECT,80,http://www.abellhotel.com,,,General Manager,info@abellboutiquehotel.com.my,,10,HOT,3 Star,80,NO,,,YES,YES,,,,0731,MAH Directory,3,Email,5183,120,Not Started,,1C,3 Star | 80 rooms | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Ajang Hotel,ajanghotel.com.my,+6085433173,"Lot 1326 - 1335, Jalan Bendahara, Water Commercial Centre, 98000, Miri, Sarawak, Malaysia,",Kuching,Sarawak,Malaysia,98000,Hospitality,PROSPECT,140,http://www.ajanghotel.com.my,,,General Manager,bestrate@ajanghotel.com.my,,10,HOT,3 Star,140,NO,,,YES,YES,,,,1069,MAH Directory,3,Email,9072,120,Not Started,,1C,3 Star | 140 rooms | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Amigo Hotel Bintulu,bintulu.amigohotels.com.my,+6086345888,"Lot 4438 of 4341, Shahida Commercial Centre, Jalan Abang Galau, Bintulu Down District, 97000, Bintulu, Sarawak, Malaysia,",Kuching,Sarawak,Malaysia,97000,Hospitality,PROSPECT,86,http://bintulu.amigohotels.com.my/,,,General Manager,reservations@bintulu.amigohotels.com.my,,8,HOT,Others,86,NO,,,YES,YES,,,,1621,MAH Directory,3,Email,5400,120,Not Started,,1C,86 rooms | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Amigo Hotel Miri,amigo-hotels.com,+6085438038,"Lot 2026, BLK9 MCLD, Marina Park, 98000, Miri, Sarawak, Malaysia,",Kuching,Sarawak,Malaysia,98000,Hospitality,PROSPECT,42,https://amigo-hotels.com/miri/,,,General Manager,info@amigomiri.com.my,,5,WARM,Others,42,NO,,,YES,YES,,,,1417,MAH Directory,3,Email,2591,120,Not Started,,1C,Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Blanco Apartment Hotel,blahotel.com,+086318333,"Lot 7920, Along Jalan Tanjong Batu, Block 31, Kemena Land District (0/L 4398), 97000, Bintulu, Sarawak, Malaysia,",Kuching,Sarawak,Malaysia,97000,Hospitality,PROSPECT,102,https://blahotel.com/,,,General Manager,blancoapartment2025@gmail.com,,10,HOT,3 Star,102,NO,,,YES,YES,,,,0613,MAH Directory,3,Email,6480,120,Not Started,,1C,3 Star | 102 rooms | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Borneo Empurau Farm & Resort,facebook.com,+60168865437,"Batu 33, Jalan Kuching-Serian, 94700, Serian, Sarawak, Malaysia,",Kuching,Sarawak,Malaysia,94700,Hospitality,PROSPECT,52,https://www.facebook.com/Borneo-Empurau-Farm-and-Resort-Sdn-Bhd-545790479269133/,,,General Manager,info@borneoempurau.com,+60168865437,9,HOT,Others,52,YES,+60168865437,mah_directory,YES,YES,,,,1597,MAH Directory,1,WhatsApp,3240,120,Not Started,,1B,52 rooms | Email | WhatsApp,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Borneo Happy Farm,borneohappyfarm.com,+60824147000,"Lot 485, Sungai Moyan, No. 3, Jalan Pei-Yuan Selatan, Batu Kawa-Bau, 93250, Kuching, Sarawak, Malaysia,",Kuching,Sarawak,Malaysia,93250,Hospitality,PROSPECT,38,http://www.borneohappyfarm.com,,,General Manager,info@borneohappyfarm.com,,5,WARM,Others,38,NO,,,YES,YES,,,,1368,MAH Directory,3,Email,2376,120,Not Started,,1C,Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Borneo Hotel Kuching,,+6082244122,"30C - F Tabuan Road, P.O. Box 1498, 93730, Kuching, Sarawak, Malaysia,",Kuching,Sarawak,Malaysia,93730,Hospitality,PROSPECT,65,,,,General Manager,borneo.hotel.info@gmail.com,,6,WARM,2 Star,65,NO,,,YES,YES,,,,0165,MAH Directory,3,Email,4104,120,Not Started,,1C,65 rooms | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Borneo Tropical Rainforest Resort,borneorainforestresort.com,+60198858593,"KM 38 Miri - Bintulu Road, Lot 15, Block 2, Sibuti Land District, 98000, Miri, Sarawak, Malaysia,",Kuching,Sarawak,Malaysia,98000,Hospitality,PROSPECT,50,http://www.borneorainforestresort.com,,,General Manager,info@borneorainforestresort.com,+60198858593,11,HOT,4 Star,50,YES,+60198858593,mah_directory,YES,YES,,,,0529,MAH Directory,1,WhatsApp,4860,180,Not Started,,1B,4 Star | 50 rooms | Email | WhatsApp,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
C H William Talhar Wong & Yeo Sdn Bhd,wtwy.com,+6082231331,"No. 26 (First Floor), Lot 352, Section 54, Wisma Nation Horizon, Jalan Petanak, 93100, Kuching, Sarawak, Malaysia,",Kuching,Sarawak,Malaysia,93100,Hospitality,PROSPECT,50,http://www.wtwy.com,,,General Manager,kuching@wtwy.com,,4,COLD,Associate,,NO,,,YES,YES,,,,1527,MAH Directory,4,Email,6480,120,Not Started,,1C,Email | Phone,2026-03-26,lead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Citadines Uplands Kuching,citadines.com,+6082281888,"55, Q5A, Kenyalang Park, 93300, Kuching, Sarawak, Malaysia,",Kuching,Sarawak,Malaysia,93300,Hospitality,PROSPECT,215,http://www.citadines.com,,,General Manager,enquiry.kuching@the-ascott.com,,10,HOT,3 Star,215,NO,,,YES,YES,,,,0905,MAH Directory,3,Email,13823,120,Not Started,,1C,3 Star | 215 rooms | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
City Rise Hotel,,+6085436999,"Lot 2390 Block 9 MCLD, Jalan Brooke, 98000, Miri, Sarawak, Malaysia,",Kuching,Sarawak,Malaysia,98000,Hospitality,PROSPECT,270,,,,General Manager,enquiry@cityrise.com.my,,9,HOT,4 Star,270,NO,,,YES,YES,,,,1753,MAH Directory,3,Email,26244,180,Not Started,,1C,4 Star | 270 rooms | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Comfortel,,+6085326322,"Lot 2375 (P/L 1352-1356), Block 9, M.C.L.D, Jalan Parry, 98000, Miri, Sarawak, Malaysia,",Kuching,Sarawak,Malaysia,98000,Hospitality,PROSPECT,45,,,,General Manager,comfortel.miri@gmail.com,,4,COLD,Others,45,NO,,,YES,YES,,,,1802,MAH Directory,4,Email,2808,120,Not Started,,1C,Email | Phone,2026-03-26,lead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Cove 55 Santubong,cove55.com,+6082846068,"Lot 55, Jalan Sultan Tengah, 93010, Santubong, Sarawak, Malaysia,",Kuching,Sarawak,Malaysia,93010,Hospitality,PROSPECT,28,https://cove55.com/,,,General Manager,reservations@cove55.com,,5,WARM,Others,28,NO,,,YES,YES,,,,1768,MAH Directory,3,Email,2160,120,Not Started,,1C,Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Damai Beach Resort,damaibeachresort.com,+6082846999,"Teluk Bandung, P.O. Box 2870, Jalan Santubong, Sarawak, 93756, Kuching, Sarawak, Malaysia,",Kuching,Sarawak,Malaysia,93756,Hospitality,PROSPECT,224,https://www.damaibeachresort.com/,,,General Manager,general@damaibeachresort.com,,10,HOT,4 Star,224,NO,,,YES,YES,,,,0080,MAH Directory,3,Email,21707,180,Not Started,,1C,4 Star | 224 rooms | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Damai Lagoon Resort,damailagoon.my,+6082846900,"Teluk Penyuk, Santubong, 93756, Kuching, Sarawak, Malaysia,",Kuching,Sarawak,Malaysia,93756,Hospitality,PROSPECT,178,https://www.damailagoon.my/,,,General Manager,info@damailagoon.my,,8,HOT,5 Star,178,NO,,,YES,YES,,,,1496,MAH Directory,3,Email,11447,120,Not Started,,1C,5 Star | 178 rooms | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Db Stay,dbstay.com.my,+6082518668,"Lot 964, Block 10, Jalan Kumpang, Off Jalan Ong Tiang Swee, 93200, Kuching, Sarawak, Malaysia,",Kuching,Sarawak,Malaysia,93200,Hospitality,PROSPECT,101,https://dbstay.com.my/,,,General Manager,sales@dbstay.com.my,,8,HOT,Others,101,NO,,,YES,YES,,,,1874,MAH Directory,3,Email,6480,120,Not Started,,1C,101 rooms | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Dehome Boutique Hotel,dorsetboutiquehotel.com,+6082347799,"175 & 175A-C, Jalan Sekama, 93300, Kuching, Sarawak, Malaysia,",Kuching,Sarawak,Malaysia,93300,Hospitality,PROSPECT,48,http://www.dorsetboutiquehotel.com,,,General Manager,dorsetboutiquehotel@gmail.com,,4,COLD,2 Star,48,NO,,,YES,YES,,,,0716,MAH Directory,4,Email,3024,120,Not Started,,1C,Email | Phone,2026-03-26,lead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Dk Value Inn,,+086333329,"Lot 1006-1007, Kemena Commercial Centre,, Jalan Tanjung Batu, 97000, Bintulu, Sarawak, Malaysia,",Kuching,Sarawak,Malaysia,97000,Hospitality,PROSPECT,43,,,,General Manager,dk.valueinnacc@gmail.com,,3,COLD,1 Star,43,NO,,,YES,YES,,,,1036,MAH Directory,4,Email,2591,120,Not Started,,1C,Email | Phone,2026-03-26,lead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Dormani Hotel Kuching,dormanihotel.com,+6082241111,"Lot 68, Jalan Datuk Ajibah Abol, 93400, Kuching, Sarawak, Malaysia,",Kuching,Sarawak,Malaysia,93400,Hospitality,PROSPECT,70,http://www.dormanihotel.com,,,General Manager,general@dormanihotel.com,,10,HOT,3 Star,70,NO,,,YES,YES,,,,0563,MAH Directory,3,Email,4536,120,Not Started,,1C,3 Star | 70 rooms | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
